year,suicides_per_100k_pop,unemp_6_month_change,unemp_1_year_change,unemp_2_year_change,unemp_3_year_change,unemp_4_year_change,cpi_1_year_change,cpi_2_year_change,cpi_3_year_change,cpi_4_year_change,religious_weekly_attendance_1_year_change,religious_weekly_attendance_2_year_change,religious_weekly_attendance_3_year_change,religious_weekly_attendance_4_year_change,cci_1_year_change,cci_2_year_change,cci_3_year_change,cci_4_year_change,violent_crimes_per_100k_year_before
1981,12.98621838,-0.4,1.2,1.2,1.2,-0.6,9.6,18.6,24.2,28.1,0.64,1.28,-1.12,1.08,-2.74981,-3.51536,-4.10576,-4.04556,
1982,13.15092059,1,1.3,2.5,1.3,2.1,7.7,17.3,26.3,31.9,-0.58,0.06,0.7,-1.7,0.09152,-2.65829,-3.42384,-4.01424,
1983,13.06262597,1.2,2.3,3.6,2.3,4.8,3.6,11.3,20.9,29.9,-0.59,-1.17,-0.53,0.11,-0.77499,-0.68347,-3.43328,-4.19883,
1984,13.37852858,-1.8,-2.5,-0.2,-2.5,2.3,3.7,7.3,15,24.6,3.11,2.52,1.94,2.58,1.29986,0.52487,0.61639,-2.13342,
1985,13.34070305,0.1,-1,-3.5,-1,0.1,4,7.7,11.3,19,0.82,3.93,3.34,2.76,1.54987,2.84973,2.07474,2.16626,
1986,13.85583509,-0.4,-0.3,-1.3,-0.3,-1.5,4,8,11.7,15.3,1.53,2.35,5.46,4.87,2.4194,3.96927,5.26913,4.49414,558.1
1987,13.67233997,-0.6,-0.4,-0.7,-0.4,-4.2,1.2,5.2,9.2,12.9,-2.1,-0.57,0.25,3.36,0.0615,2.4809,4.03077,5.33063,620.1
1988,13.36599913,-0.5,-0.9,-1.3,-0.9,-2.6,4.9,6.1,10.1,14.1,-2.73,-4.83,-3.3,-2.48,-0.4972,-0.4357,1.9837,3.53357,612.5
1989,13.16763041,-0.1,-0.4,-1.3,-0.4,-2,5.1,10,11.2,15.2,-1.15,-3.88,-5.98,-4.45,1.0562,0.559,0.6205,3.0399,640.6
1990,13.43540092,0.1,0.1,-0.3,0.1,-1.6,5.6,10.7,15.6,16.8,3.7,2.55,-0.18,-2.28,0.4392,1.4954,0.9982,1.0597,666.9
1991,13.21714494,1.1,0.9,1,0.9,-0.3,7.7,13.3,18.4,23.3,-0.33,3.37,2.22,-0.51,-2.1207,-1.6815,-0.6253,-1.1225,729.6
1992,12.93525031,0.4,1,1.9,1,1.6,4.1,11.8,17.4,22.5,0.05,-0.28,3.42,2.27,-0.28299,-2.40369,-1.96449,-0.90829,758.2
1993,13.0554411,-0.4,0.1,1.1,0.1,2.1,4,8.1,15.8,21.4,-1.05,-1,-1.33,2.37,-0.10074,-0.38373,-2.50443,-2.06523,757.7
1994,12.9348197,-0.5,-0.9,-0.8,-0.9,1.1,3.9,7.9,12,19.7,-1.05,-2.1,-2.05,-2.38,0.25964,0.1589,-0.12409,-2.24479,747.1
1995,12.86044574,-0.6,-1,-1.9,-1,-0.8,3.9,7.8,11.8,15.9,-1.12,-2.17,-3.22,-3.17,0.89489,1.15453,1.05379,0.7708,713.6
1996,12.55255128,0,0.1,-0.9,0.1,-1.7,3.8,7.7,11.6,15.6,-1.45,-2.57,-3.62,-4.67,0.0769,0.97179,1.23143,1.13069,684.5
1997,12.28115502,0.1,-0.2,-0.1,-0.2,-2,5.1,8.9,12.8,16.7,-1.45,-2.9,-4.02,-5.07,0.3582,0.4351,1.32999,1.58963,636.6
1998,12.15839575,-0.3,-0.7,-0.9,-0.7,-1.8,2.7,7.8,11.6,15.5,0.88,-0.57,-2.02,-3.14,0.6539,1.0121,1.089,1.98389,611
1999,11.50074989,-0.1,-0.3,-1,-0.3,-1.1,2.6,5.3,10.4,14.2,0.87,1.75,0.3,-1.15,-0.8982,-0.2443,0.1139,0.1908,567.6
2000,11.1891079,-0.3,-0.4,-0.7,-0.4,-1.6,4.4,7,9.7,14.8,0,0.87,1.75,0.3,1.2223,0.3241,0.978,1.3362,523
2001,11.53120709,-0.1,-0.1,-0.5,-0.1,-1.5,5.7,10.1,12.7,15.4,-0.01,-0.01,0.86,1.74,-0.3749,0.8474,-0.0508,0.6031,506.5
2002,11.77446492,1.2,1.8,1.7,1.8,1,2.7,8.4,12.8,15.4,-0.59,-0.6,-0.6,0.27,-1.0079,-1.3828,-0.1605,-1.0587,504.5
2003,11.61335029,0.2,0.3,2.1,0.3,1.6,4.2,6.9,12.6,17,-0.58,-1.17,-1.18,-1.18,-1.67059,-2.67849,-3.05339,-1.83109,494.4
2004,11.85302645,-0.6,-0.3,0,-0.3,1.7,3.4,7.6,10.3,16,0.78,0.2,-0.39,-0.4,0.18323,-1.48736,-2.49526,-2.87016,475.8
2005,11.81753372,-0.2,-0.3,-0.6,-0.3,1.5,6,9.4,13.6,16.3,0.78,1.56,0.98,0.39,-0.17855,0.00468,-1.66591,-2.67381,463.2
2006,11.93343566,-0.1,-0.5,-0.8,-0.5,-0.8,6.5,12.5,15.9,20.1,-0.2,0.58,1.36,0.78,0.85471,0.67616,0.85939,-0.8112,469
2007,12.32671982,-0.2,-0.5,-1,-0.5,-1.6,5,11.5,17.5,20.9,-0.21,-0.41,0.37,1.15,1.3922,2.24691,2.06836,2.25159,479.3
2008,12.76050642,0.4,0.6,0.1,0.6,-0.7,8.236,13.236,19.736,25.736,-0.38,-0.59,-0.79,-0.01,-1.0651,0.3271,1.18181,1.00326,471.8
2009,12.93998301,1.7,2.3,2.9,2.3,1.9,0.192,8.428,13.428,19.928,-0.38,-0.76,-0.97,-1.17,-1.42856,-2.49366,-1.10146,-0.24675,458.6
2010,13.32758248,0.4,2.6,4.9,2.6,5,5.721,5.913,14.149,19.149,0.57,0.19,-0.19,-0.4,1.80436,0.3758,-0.6893,0.7029,431.9
2011,13.60872153,-0.1,-0.6,2,-0.6,4.9,3.23,8.951,9.143,17.379,0.56,1.13,0.75,0.37,-0.5822,1.22216,-0.2064,-1.2715,404.5
2012,13.86346964,-0.6,-0.8,-1.4,-0.8,3.5,6.493,9.723,15.444,15.636,0.3,0.86,1.43,1.05,-2.36316,-2.94536,-1.141,-2.56956,387.1
2013,13.93153233,-0.3,-0.6,-1.4,-0.6,0.6,3.929,10.422,13.652,19.373,0.29,0.59,1.15,1.72,-0.05365,-2.41681,-2.99901,-1.19465,387.8
2014,14.3640766,-0.8,-1.2,-1.8,-1.2,-3.2,3.448,7.377,13.87,17.1,-1.17,-0.88,-0.58,-0.02,2.30321,2.24956,-0.1136,-0.6958,369.1
2015,14.72581287,-0.5,-1.1,-2.3,-1.1,-3.7,1.763,5.211,9.14,15.633,-1.17,-2.34,-2.05,-1.75,0.1731,2.47631,2.42266,0.0595,361.6
